Train Loss,Validation Loss
9.361,9.07052230834961
9.1101,8.283675193786621
8.2891,7.594343185424805
6.8709,7.059075832366943
6.4437,6.555652141571045
6.4079,6.062775135040283
5.7499,5.640468597412109
5.745,5.252862930297852
5.2288,4.8939971923828125
4.6368,4.546164035797119
4.4646,4.237203121185303
4.2406,3.9347212314605713
3.8361,3.6570396423339844
3.4287,3.4052751064300537
3.2445,3.194793701171875
3.0207,3.0124664306640625
2.7976,2.860928535461426
2.7438,2.7303261756896973
2.4846,2.6226296424865723
2.7484,2.5453712940216064
2.7566,2.446903705596924
2.1402,2.37282657623291
2.3043,2.309427499771118
2.2001,2.2477667331695557
2.4151,2.1993513107299805
2.1357,2.13981556892395
2.1242,2.102862596511841
2.0552,2.077944755554199
1.9515,2.0641040802001953
1.9482,2.060426950454712
2.0866,2.0400846004486084
1.9202,2.0509653091430664
1.8736,2.035933494567871
1.7994,1.9966280460357666
1.6197,1.9669901132583618
1.8416,1.9437108039855957
1.9104,1.9263962507247925
1.9758,1.9086753129959106
1.7299,1.8943208456039429
1.8658,1.8875097036361694
1.6134,1.8676872253417969
1.8221,1.8381203413009644
1.8303,1.8166285753250122
1.577,1.811159372329712
1.5811,1.793499231338501
1.425,1.7817459106445312
1.5986,1.750800609588623
1.7593,1.7412140369415283
1.7074,1.7419005632400513
1.3954,1.7293543815612793
1.6985,1.697306513786316
1.4215,1.6886382102966309
1.5268,1.6356910467147827
1.25,1.626761555671692
1.4671,1.6243469715118408
1.5819,1.598333716392517
1.6665,1.5800247192382812
1.1418,1.5738410949707031
1.4691,1.5551586151123047
1.5618,1.5275075435638428
1.6749,1.5002959966659546
1.0913,1.4924064874649048
1.2061,1.510611653327942
1.0692,1.4678369760513306
1.0766,1.4692840576171875
1.2928,1.45109224319458
1.1371,1.4341109991073608
1.2491,1.4191068410873413
1.2378,1.4039007425308228
1.0538,1.4226861000061035
1.366,1.4079607725143433
1.3871,1.399566650390625
1.4315,1.3825923204421997
1.0584,1.3665578365325928
0.9896,1.3734322786331177
1.2025,1.3415045738220215
0.9945,1.3469231128692627
1.151,1.3543660640716553
0.9732,1.3488202095031738
1.3112,1.3170263767242432
1.1353,1.2990161180496216
0.9874,1.2989498376846313
1.0737,1.2959634065628052
1.0736,1.2936615943908691
1.0535,1.2882513999938965
0.8293,1.2857813835144043
0.9812,1.2793259620666504
1.1516,1.259414553642273
0.9118,1.246277928352356
1.2349,1.2498244047164917
0.8955,1.2577471733093262
0.8554,1.2507541179656982
0.9846,1.257018804550171
0.8871,1.2490463256835938
1.0286,1.2462760210037231
1.0151,1.228896975517273
1.1409,1.2049005031585693
0.8827,1.205576777458191
0.9827,1.2136917114257812
0.8043,1.1906474828720093
1.0365,1.1704119443893433
0.9095,1.1707429885864258
0.8087,1.176866888999939
0.8398,1.1566559076309204
0.8966,1.1715470552444458
0.9028,1.162896990776062
0.9359,1.178536295890808
0.7689,1.181422472000122
0.8415,1.1774272918701172
0.7431,1.16259765625
1.2924,1.1562023162841797
0.9839,1.1395295858383179
0.8684,1.1299833059310913
0.6432,1.1323962211608887
0.9248,1.1539196968078613
0.9546,1.13425874710083
0.8642,1.1018034219741821
0.7463,1.1113166809082031
0.9058,1.0995436906814575
0.9393,1.0880383253097534
0.8368,1.0893597602844238
0.6762,1.0865360498428345
0.6673,1.0997402667999268
0.6928,1.092329502105713
0.8261,1.0854524374008179
0.8583,1.0772464275360107
0.785,1.0699483156204224
0.7071,1.0857008695602417
0.7513,1.084367036819458
0.5718,1.0869526863098145
0.901,1.091968059539795
0.7444,1.0794652700424194
0.6573,1.0720454454421997
0.8797,1.0576565265655518
0.8443,1.0592483282089233
0.8532,1.03507661819458
0.6877,1.031390905380249
0.679,1.031205654144287
0.6292,1.0453808307647705
0.8104,1.0480201244354248
0.7681,1.043571949005127
0.5648,1.0603681802749634
0.7432,1.0465893745422363
0.8255,1.0458096265792847
0.7245,1.0544296503067017
0.6173,1.0557429790496826
0.7406,1.0537127256393433
0.6252,1.043989658355713
0.6628,1.0391907691955566
0.8989,1.0363271236419678
